ID Number;Name;Sirname;Birthday;Score Type (Q: Quantitative, V: Verbal)
45512373763;name67;sname349; 28.10.1993;V
86412374132;name215;sname619; 29.12.1993;Q
68112375492;name131;sname97; 18.07.1992;V
23912376732;name229;sname1107; 05.12.1994;Q
30012377619;name40;sname1119; 28.06.1992;V
50612378474;name48;sname189; 06.01.1992;Q
96212379840;name85;sname903; 28.08.1992;Q
36112380935;name240;sname1155; 05.02.1995;Q
20512381104;name197;sname88; 05.06.1994;V
29512382468;name137;sname429; 25.05.1993;Q
57612383539;name162;sname779; 24.08.1995;Q
41412384751;name76;sname134; 24.06.1992;Q
46312385192;name236;sname787; 05.07.1992;Q
19612386351;name144;sname730; 16.10.1993;V
92312387456;name190;sname701; 25.09.1993;V
61712388979;name182;sname1172; 02.11.1994;Q
30012389510;name249;sname211; 04.10.1995;V
42012390688;name149;sname769; 11.11.1994;Q
18012391632;name94;sname863; 21.12.1993;V
54412392848;name168;sname1157; 18.05.1993;Q
82812393826;name213;sname579; 13.12.1994;Q
17512394111;name181;sname722; 09.03.1993;Q
65112395429;name39;sname154; 22.11.1992;Q
37412396126;name248;sname614; 01.12.1994;Q
51212397421;name153;sname1004; 23.12.1994;Q
92312398530;name146;sname116; 29.11.1995;Q
23312399338;name115;sname391; 06.03.1993;Q
77812400274;name173;sname1002; 27.10.1994;V
37312401130;name194;sname550; 17.10.1993;Q
73612402452;name199;sname1015; 29.12.1995;Q
21212403966;name203;sname425; 14.10.1995;Q
60012404597;name130;sname236; 12.04.1992;Q
77512405822;name112;sname1044; 03.10.1992;Q
71912406335;name19;sname135; 28.04.1993;Q
43312407401;name48;sname778; 13.11.1994;Q
45112408907;name157;sname880; 23.09.1993;Q
26812409874;name211;sname449; 19.01.1992;Q
37612410395;name47;sname880; 14.09.1994;Q
29912411656;name241;sname258; 11.12.1993;V
79312412829;name151;sname440; 23.10.1992;V
76712413891;name44;sname993; 24.08.1992;V
89312414706;name25;sname1009; 16.08.1992;V
56712415908;name137;sname995; 05.03.1992;Q
56812416506;name29;sname38; 08.10.1992;V
27012417478;name32;sname715; 17.11.1992;Q
95712418251;name121;sname214; 09.02.1992;Q
77612419267;name203;sname1125; 22.08.1992;Q
87012420859;name139;sname730; 12.12.1995;Q
94912421743;name112;sname756; 23.12.1994;Q
28612422969;name47;sname36; 06.05.1993;V
67112423126;name196;sname307; 12.12.1993;Q
83512424620;name236;sname504; 08.09.1995;Q
79112425447;name194;sname473; 09.11.1994;Q
90412426642;name9;sname542; 06.06.1993;Q
77512427187;name64;sname586; 24.10.1992;Q
13812428680;name177;sname253; 26.12.1993;Q
20712429552;name200;sname840; 23.02.1994;Q
38712430217;name21;sname643; 06.08.1993;V
67912431849;name211;sname159; 18.05.1995;Q
94712432947;name226;sname339; 27.02.1993;V
46312433871;name205;sname52; 15.03.1992;Q
13912434625;name241;sname464; 15.09.1995;Q
67712435133;name5;sname343; 29.09.1993;V
36712436675;name159;sname203; 05.06.1994;Q
14212437970;name233;sname787; 28.10.1994;Q
63712438109;name20;sname710; 29.12.1993;V
13312439706;name52;sname884; 11.09.1992;Q
82212440986;name56;sname413; 25.11.1992;Q
39212441626;name245;sname706; 15.04.1994;Q
25912442535;name2;sname589; 25.12.1992;Q
31912443487;name108;sname35; 19.12.1995;V
29712444783;name54;sname231; 21.11.1992;Q
11512445162;name41;sname435; 01.12.1994;Q
35112446678;name223;sname312; 14.07.1992;V
98712447783;name202;sname209; 09.10.1992;Q
73912448266;name178;sname98; 02.10.1992;V
18812449436;name168;sname1143; 22.10.1992;Q
46212450267;name246;sname648; 17.05.1993;V
12812451485;name189;sname390; 13.10.1992;V
85412452464;name165;sname220; 25.03.1995;Q
27312453979;name33;sname824; 03.05.1992;Q
40912454334;name194;sname86; 09.09.1993;Q
22112455664;name138;sname689; 05.12.1992;Q
15412456827;name96;sname1171; 09.11.1992;V
78712457368;name210;sname859; 09.11.1995;V
66612458268;name223;sname1020; 12.12.1992;Q
93612459411;name21;sname482; 28.07.1995;Q
86312460422;name116;sname749; 01.10.1992;Q
22112461260;name135;sname169; 19.06.1994;Q
28912462345;name99;sname1069; 17.11.1992;Q
17912463610;name49;sname94; 22.10.1992;Q
35912464610;name54;sname625; 15.02.1994;V
20712465597;name225;sname737; 28.12.1992;Q
63712466434;name221;sname1197; 24.11.1994;Q
71812467237;name214;sname826; 21.12.1993;Q
59912468848;name153;sname1129; 11.01.1992;Q
32012469285;name123;sname941; 24.10.1994;V
35612470301;name155;sname357; 06.04.1993;V
30712471772;name29;sname1110; 28.12.1992;V
53712472823;name142;sname412; 25.08.1992;Q
59412473874;name95;sname749; 24.02.1995;Q
54312474951;name154;sname1066; 12.01.1994;Q
31712475421;name65;sname451; 26.05.1994;Q
83012476758;name107;sname913; 12.12.1992;V
46712477712;name230;sname970; 29.06.1994;V
21812478455;name29;sname1110; 24.02.1993;V
10912479357;name49;sname1183; 14.02.1992;V
34512480363;name51;sname1128; 29.12.1995;Q
80512481823;name183;sname1078; 03.10.1993;V
80012482451;name108;sname381; 29.12.1994;Q
90912483164;name114;sname226; 21.10.1992;Q
54512484755;name164;sname720; 28.12.1992;Q
13112485432;name218;sname903; 19.12.1993;V
53212486425;name90;sname978; 03.05.1993;Q
69512487814;name90;sname937; 25.10.1993;V
47312488749;name167;sname791; 26.06.1992;Q
59312489219;name60;sname635; 28.12.1995;V
87112490543;name5;sname872; 17.12.1994;Q
63312491353;name170;sname493; 01.11.1994;Q
76112492380;name129;sname484; 14.11.1992;Q
73212493549;name166;sname1106; 26.11.1994;Q
50912494504;name79;sname79; 29.12.1995;Q
57712495723;name147;sname166; 29.06.1995;Q
18812496296;name113;sname534; 17.11.1994;V
98112497543;name17;sname639; 09.09.1992;V
49612498638;name229;sname1129; 02.12.1994;Q
93412499574;name101;sname268; 19.03.1992;V
76912500349;name208;sname257; 23.08.1994;Q
49812501861;name23;sname212; 06.12.1994;Q
74112502878;name43;sname348; 08.11.1993;V
83112503730;name171;sname509; 12.02.1992;Q
94412504371;name158;sname277; 21.02.1992;V
90112505719;name55;sname810; 13.01.1994;Q
15912506185;name42;sname758; 13.02.1994;V
29412507546;name137;sname621; 12.10.1992;Q
91612508697;name164;sname508; 01.05.1992;V
59812509143;name99;sname350; 23.06.1993;V
37712510246;name181;sname464; 26.07.1993;Q
55112511817;name67;sname376; 27.10.1993;Q
